web-scraper-order,article,contenu,ToF
1549795617-34,بمناسبة الذكرى الثامنة للثورة     مجلس نواب الشعب يدعو الجميع للتفاعل مع قضايا الشعب باعتماد الحوار,تونس 13 جانفي 2019 (وات)-دعا مجلس نواب الشعب. اليوم الأحد. جميع الأطراف إلى التفاعل مع قضايا الشعب واستحقاقات المرحلة باعتماد الحواروالتشارك بهدف تحقيق المطالب المشروعة للتونسيين لاسيما في ذكرى الثامنة لثورة الحرية والكرامة التي تتزامن مع وضع   ,T
1549795621-36,الجهيناوي يسلم العاهل البحريني دعوة للمشاركة في الدورة 30 للقمة العربية,تونس 13 جانفي 2019 (وات)-سلم وزير الشؤون الخارجية خميس الجهيناوي. اليوم الأحد. ولي عهد البحرين الأمير سلمان بن حمد آل خليفة رسالة خطيّة من رئيس الجمهورية الباجي قايد السبسي إلى العاهل البحريني الملك حمد بن عيسى آل خليفة تتضمن دعوة للمشاركة في الدورة   ,T
 1549795667-46,     حركة النهضة ستقاضي كل الأشخاص الذين وجهوا لها اتهامات وعملوا على تشويهها     (عبد الكريم الهاروني)  ,  تونس 14 جانفي 2019 (وات)- قال رئيس مجلس شورى حزب حركة النهضة. عبد الكريم الهاروني. إن الحركة ليس لها أي تنظيم سري وليست لها علاقة بالاغتيالات السياسية. مؤكدا أنها     ستتوجه للقضاء لمحاسبة كل الأشخاص الذين وجهوا لها اتهامات وعملوا على تشويهها      وأضاف     ,T 
1549795564-13,دعوة مستعملي الطريق إلى عدم المجازفة بالعبور بأماكن تراكم الثلوج أو نقاط سيلان مياه جارفة خاصة بولايات الشمال والوسط الغربي اليوم وغدا (بلاغ),تونس 11 جانفي (وات)- دعت الإدارة العامة للحرس الوطني مستعملي الطريق. إلى عدم المجازفة بالعبور بأماكن تراكم الثلوج أو نقاط سيلان مياه جارفة. على إثر توقعات بنزول أمطار وثلوج خاصة بولايات جندوبة وباجة والكاف وسليانة والقصرين. اليوم الجمعة وغدا   ,T
1549795570-16,دعم التعاون الثنائي في المجال الأمني محور لقاء وزير الداخلية بمستشار الدولة لمقاطعة زوريخ السويسرية,تونس 11 جانفي (وات)- مثل التباحث حول سبل تدعيم التعاون الثّنائي في المجال الأمني. محور اللقاء الذي دار اليوم الجمعة بين وزير الدّاخليّة هشام الفراتي. ومستشار الدّولة لمقاطعة زوريخ السّويسريّة ماريو فاهر والوفد المرافق له. بمقرّ الوزارة  وقد تم   ,T
 1549795676-49,في الذكرى الثامنة للثورة: أحزاب المعارضة تدعو الى مواصلة النضال والتصدي للخيارات اللاوطنية للائتلاف الحاكم (بيانات),  تونس 14 جانفي (وات)- حذر عدد من الأحزاب السياسية المعارضة. في بيانات لها اليوم الإثنين. بمناسبة إحياء الذكرى الثامنة للثورة التونسية. من إلتفاف السلطة الحاكمة على الثورة التي ستظل     مستمرة    . حاثة الشعب على مواصلة النضال والدفاع عن مكاسبه وحقوقه.     ,T 
 1549795543-5,هشام السنوسي: احداث هيكل يعنى بقيس الجمهور في غضون بضعة أشهر,  تونس 11 جانفي 2019 (وات)-أفاد عضو الهيئة العليا المستقلة للاتصال السمعي والبصري (الهايكا) هشام السنوسي اليوم الجمعة. أن الهيئة ستحيل على أنظار رئاسة الحكومة مشروع قانون لإحداث هيكل مستقل     لقيس الجمهور     وأنه في غضون بضعة أشهر سيكون لتونس هيكل لقيس     ,T 
1549795683-52,مجموعة من مكوّنات المجتمع المدني تطالب البرلمان بالإسراع في حلّ أزمة الهيئة العليا المستقلة للانتخابات,تونس 15 جانفي (وات)- طالبت مجموعة من مكوّنات المجتمع المدني خلال لقاء تشاوريّ جمعها مساء أمس الاثنين مجلس نواب الشعب بالإسراع في حلّ أزمة الهيئة العليا المستقلة للانتخابات بعيدا عن التجاذبات الحزبية كما دعت المجموعة وفق بيان اصدرته عقب لقائها .عموم   ,T
1549795692-56,التيار الشعبي يطالب باعفاء وزير السياحة,تونس 15 جانفي (وات)-دعا حزب التيار الشعبي اليوم الثلاثاء إلى ضرورة التعجيل بإعفاء وزير السياحة من مهامه احتراما لقيم وثوابت الشعب التونسي في رفضه ومقاومته للصهيونية وحماية لسيادة تونس واستقرارها.مذكّرا في هذا الصدد بتحذيره من مخاطر تعيين الطرابلسي   ,T
1549795556-10,حجز 200 غرام من مخدر الهيروين بمطار قرطاج و 10 كلغ من مخدر عجين التكروري بزغوان,تونس 11 جانفي (وات)- تمكّنت الإدارة الفرعيّة لمكافحة المخدّرات بإدارة الشّرطة العدليّة. أمس الخميس. في إطار تعقّبها للشّبكات الدّوليّة النّاشطة في مجال تهريب وترويج المخدّرات. من ضبط شخص (50 سنة) بمطار تونس قرطاج قادما من تركيا. وبحوزته كميّة من   ,T
1549795550-7,رئيس البرلمان يتسلّم التقرير السنوي للمحكمة الإدارية 2017/2016,باردو 11 جانفي (وات) - قدّم عبد السلام مهدي قريصيعة. الرئيس الأول للمحكمة الإدارية. اليوم الجمعة. التقرير السنوي للمحكمة (2016-2017) لرئيس مجلس نواب الشعب. محمد الناصر وتناول اللقاء. حسب بلاغ للبرلمان. عرضا لنشاط المحكمة الإدارية القضائي والإستشاري   ,T
 1549795578-18,  صدور 41 حكما بالإعدام في حق متهمين في هجوم     هنشير التلة     الارهابي (سفيان السليطي)  ,  تونس 10 جانفي (وات) - أصدرت الدائرة الجنائية الخامسة المتخصصة في قضايا الارهاب بالمحكمة الابتدائية بتونس. مساء اليوم الجمعة. 42 حكما من بينها 41 حكما بالاعدام في حق المتهمين في الهجوم الإرهابي الذي استهدف عسكريين في منطقة     هنشير التلة     بولاية     ,T 
1549795534-1,وقفة احتجاجية لعائلات شهداء وجرحى الثورة بالقصبة. للمطالبة بنشر القائمة بالرائد الرسمي,تونس 11 جانفي 2019(وات)- نفذ عدد من عائلات شهداء وجرحى الثورة اليوم الجمعة وقفة احتجاجية بساحة الحكومة بالقصبة. للمطالبة بنشر القائمة النهائية للشهداء والجرحى بالرائد الرسمي للجمهورية التونسية. خلال شهر جانفي الحالي وفع المحتجون شعارات تدعو الى   ,T
1549795665-45,تزامنا مع ذكرى الثورة الحزب الجمهوري يؤسس منظمته الشبابية,تونس 14 جانفي 2019(وات) - أكد عضو المكتب التنفيذي للحزب الجمهوري رشاد شوشان. أن تأسيس منظمة شبابية للحزب. سيكون بمثابة قاطرة للشباب في المستقبل ودعامة له في الجهات. علاوة على توسيع دائرة النقاش مع شباب تونس لحثه على الانخراط في العملية الإنتخابية   ,T
1549795681-51,تراجع وتيرة الاعتداءات ضد الصحفيين خلال شهر ديسمبر مقارنة بشهر نوفمبر 2018,تونس 15 جانفى (وات)- سجلت وحدة الرصد بمركز السلامة المهنية للنقابة الوطنية للصحفيين التونسيين خلال شهر ديسمبر 2018 تراجع وتيرة الاعتداءات مقارنة بشهر نوفمبر من نفس السنة وبلغ عدد الاعتداءات وفق بيان لوحدة الرصد اليوم الثلاثاء. 11 اعتداء من أصل 15   ,T
1549795558-11,هبتان صينيتان لفائدة الحكومة التونسية ب108 ملايين دينار,تونس 11 جانفي (وات) - تحادث وزير الشؤون الخارجية. خميس الجهيناوي. اليوم الجمعة بمقر الوزارة. مع رئيس الوكالة الصينية للتعاون الدولي من أجل التنمية. (برتبة نائب وزير). وانغ كزيا أوتاوو الذي يؤدي زيارة بيومين إلى تونس ونوّه الوزير خلال اللقاء بالمستوى   ,T
1549795672-47,شارع الحبيب بورقيبة في الذكرى الثامنة للثورة    غابت الاحتفالات وحضرت الأحزاب,تونس 14 جانفي 2019 (وات تحرير منى الودرني)- الذكرى الثامنة لثورة 14 جانفي. حدث احتفل به شارع الحبيب بورقيبة بالعاصمة هذه السنة وسط تعزيزات أمنية استثنائية. أين حضرت الحواجز الحديدية على امتداد الشارع وفي المنافذ الرئيسية المتفرعة عنه وتمركزت نقاط   ,T
 1549795607-30,معرض وثائقي للمنتدى التونسي للحقوق الإقتصادية والإجتماعية بالعاصمة يؤرخ لأبرز أحداث الثورة التونسية,  تونس 13 جانفي 2019 (وات)- نظم المنتدى التونسي للحقوق الإقتصادية والإجتماعية. اليوم الأحد بقاعة الأخبار بشارع الحبيب بورقيبة بالعاصمة. معرضا وثائقيا بعنوان     أين نحن من المطالب الإقتصادية والإجتماعية للثورة    . بمناسبة الذكرى الثامنة لثورة 14 جانفي     ,T 
1549795690-55,كمال مرجان: الوزارة تعمل على ضبط منهجية التخطيط الاستراتيجي على المستوى الوطني عبر تنمية القدرات,تونس 15 جانفي 2019 (وات)-أفاد وزير الوظيفة العمومية وتحديث الإدارة والسياسات العمومية كمال مرجان. اليوم الثلاثاء. أن وزارته تعمل على ضبط منهجية التخطيط الاستراتيجي على المستوى الوطني عبر تنمية القدرات. الذي سيتم إعداده بصورة تفاعلية وتشاركية ليتم   ,T
 1549795656-41,  بمناسبة الذكرى 8 للثورة       المعارضة تتحمل ايضا مسؤولية الاوضاع المتردية في البلاد لانها لم تتشكل في قوة لارساء برنامج     انقاذ تونس    (عصام الشابي)  ,تونس 14 جانفي 2019(وات) قال الامين العام للحزب الجمهوري عصام الشابي اليوم الاثنين في الذكرى الثامنة لانتصارالثورة ان الحزب لا يحمل مسؤولية الاوضاع المتردية في البلاد الى منظومة الحكم الحالية فقط بل الى المعارضة باعتبارها لم تضع امام التونسيين   ,T 
1549795539-3,التيار الديمقراطي يدعو النيابة العمومية الى فتح تحقيق في شبهات فساد واردة بتقرير دائرة المحاسبات,تونس 11 جانفي (وات)- دعا الأمين العام لحزب التيار الديمقراطي غازي الشواشي النيابة العمومية الى التحرّك وفتح تحقيق قضائي في شبهات الفساد المالي التي تطرّق إليها تقرير دائرة المحاسبات عدد 31 لسنة 2018 وبيّن في تصريح لوكالة تونس إفريقيا للأنباء اليوم   ,T
1549795554-9,وزير الخارجيّة يتسلم رسالة خطية من نظيره الليبي تتعلق بعلاقات التعاون بين البلدين,تونس 11 جانفي 2019 (وات)- التقى وزير الشؤون الخارجية خميس الجهيناوي اليوم الجمعة معتوق بوراوي المبعوث الخاص لوزير الخارجية بحكومة الوفاق الوطني الليبية محمد الطاهر سيالة. الذي سلمه رسالة خطية من نظيره الليبي تتعلق بعلاقات التعاون بين البلدين وشدد   ,T
1549795593-25,الحزب الجمهوري سيعرض برنامجه الانتخابي مطلع أفريل القادم (عصام الشابي),تطاوين 12 جانفي 2019 (وات)- قال الأمين العام للحزب الجمهوري. عصام الشابي. في تصريح لمراسل (وات) بتطاوين اليوم السبت. إن اللجنة المركزية للحزب المنعقدة الأسبوع الماضي قررت تقديم البرنامج الانتخابي للحزب الجمهوري خلال شهر أفريل القادم واعتبر الشابي.   ,T
 1549795587-22,  راشد الغنوشي:     لا وجود لعقد شراكة بين حركة النهضة ورئيس الحكومة    وليست لي طموحات للإنتخابات الرئاسية      ,تونس 12 جانفي (وات)- أكّد رئيس حزب حركة النهضة راشد الغنّوشي. خلال ندوة نظّمها مركز الدراسات الاستراتيجية والديبلوماسيّة اليوم السبت بالعاصمة. أنّ الحكومة الحالية مستمرة إلى حين إجراء الانتخابات القادمة. لأنّ الوقت غير كاف لتشكيل حكومة جديدة. متوجها   ,T 
1549795674-48,حزب آفاق تونس يناقش حصيلة ثماني سنوات من الثورة,,T
1549795679-50,جلسة عامة للبرلمان أيام 15 و16 و17 جانفي للنظر في عدد من مشاريع القوانين,تونس 14 جانفي (وات) - يعقد مجلس نواب الشعب. أيام 15 و16 و17 جانفي 2019. جلسة عامة. للنظر في خمسة مشاريع قوانين ووفق جدول أعمال الجلسة. المنشور على الموقع الإلكتروني الرسمي للبرلمان. فإن نواب الشعب سينظرون في مستهل جلسة غد الثلاثاء. في مشروع القانون   ,T
 1549795648-38,      الهايكا     توجه دعوة للممثل القانوني للقناة التلفزية الخاصة « تونسنا » على خلفية خرق جسيم للقناة  ,  تونس 13 جانفي 2019 (وات)-وجهت الهيئة العليا المستقلة للاتصال السمعي والبصري (الهايكا). اليوم الأحد. إعلاما بمخالفة للقناة اللتفزية الخاصة     تونسنا     ودعت ممثلها القانوني للحضور يوم الاثنين المقبل للاطلاع على ملف المخالفة   وأوضحت الهيئة في بلاغ أصدرته     ,T 
1549795600-27,الذكري الثامنة للثورة   حركة تونس الى الأمام تعتبر أن تونس تعيش انهيارات اقتصادية واجتماعية وسياسية لم تشهدها من قبل,تونس 13 جانفى (وات)- اعتبرت حركة تونس الى الأمام في بيان أصدرته بمناسبة الذكري الثامنة للثورة. أن تونس لم تشهد طيلة عقود انهيارات اقتصادية واجتماعية وسياسية كما تشهدها حاليا وأكدت أن من أبرز مظاهر الازمة . ارتفاع نسبة التضخم لتتجاوز معدل 7 5 % في   ,T
1549795552-8,إدارة السجون والإصلاح تنفي تعرض السجين صابر العجيلي لضغوطات معنوية أو نيتها إرجاعه لوحدة الإيقاف في الوقت الراهن,تونس 11 جانفي (وات)- أكدت الإدارة العامة للسجون والإصلاح. عدم تعرض السجين صابر العجيلي لأي شكل من أشكال الضغوطات المعنوية. التي من شأنها أن تؤثر سلبا على وضعه الصحي والنفسي. خلافا لما تم تداوله بعدد من الصحف والمواقع الإلكترونية وأبرزت في بلاغ   ,T
1549795663-44,محمد عبو سيكون مرشح التيار الديمقراطي في الانتخابات الرئاسية المقبلة(الامين العام للحزب),تونس 14 جانفي 2019 (وات) رجح أمين عام حزب التيار الديمقراطي غازي الشواشي أن يكون القيادي محمد عبو مرشحا للحزب في الانتخابات الرئاسية المقبلة وأفاد الشواشي في تصريح اليوم الاثنين لوكالة تونس افريقيا للانباء بمناسبة فعاليات الاحتفال بالكرى الثامنة   ,T
 1549795591-24,  بن سدرين :     هيئة الحقيقة والكرامة ستنقل أرشيفها لمؤسسة الأرشيف الوطني بعد تسليم قرارات جبر الضرر      ,  تونس 12 جانفي 2019 (وات) - قالت رئيسة هيئة الحقيقة والكرامة. سهام بن سدرين. اليوم السبت.      إن الهيئة ستنقل أرشيفها إلى مؤسسة الأرشيف الوطني بعد الانتهاء من تسليم قرارات جبر الضرر للضحايا     وأوضحت بن سدرين. في تصريح إعلامي على هامش تنظيم حفل تسليم أول     ,T 
